Airline,Verified,Type of Traveller,Class,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended,Sentiment,Season,Continent_Route
Qatar Airways,True,Solo Leisure,Premium Economy,5,5,5,5,5,10,yes,Positive,Autumn,Asia to Asia
Qatar Airways,True,Business,Economy Class,5,4,5,5,5,8,yes,Positive,Winter,Europe to Asia
Qatar Airways,True,Solo Leisure,Business Class,4,1,3,5,4,8,yes,Positive,Winter,Oceania to Asia
Qatar Airways,True,Business,Economy Class,5,4,2,5,1,1,no,Negative,Autumn,Asia to Oceania
Qatar Airways,True,Couple Leisure,Economy Class,5,4,4,5,5,7,yes,Positive,Autumn,Asia to Europe
Qatar Airways,True,Solo Leisure,Economy Class,5,1,5,3,4,9,yes,Positive,Winter,Oceania to Asia
Qatar Airways,True,Couple Leisure,Economy Class,5,5,5,2,5,8,yes,Positive,Autumn,Europe to Oceania
Qatar Airways,True,Couple Leisure,Business Class,3,5,5,3,5,5,yes,Positive,Autumn,Asia to Asia
Qatar Airways,True,Family Leisure,Business Class,3,4,4,5,3,6,yes,Positive,Summer,Europe to Oceania
Qatar Airways,True,Solo Leisure,Business Class,5,5,4,4,4,5,no,Positive,Autumn,Asia to Asia
Qatar Airways,True,Business,Business Class,5,5,1,3,4,9,yes,Positive,Autumn,Europe to Oceania
Qatar Airways,True,Couple Leisure,Business Class,2,5,3,5,5,10,yes,Positive,Autumn,Oceania to Europe
Qatar Airways,True,Couple Leisure,Business Class,4,4,5,4,5,10,yes,Positive,Autumn,Asia to Europe
Qatar Airways,True,Couple Leisure,Business Class,5,4,5,4,4,9,yes,Positive,Autumn,Europe to Asia
Qatar Airways,True,Family Leisure,Business Class,5,2,4,4,1,1,no,Negative,Autumn,America to Asia
Qatar Airways,True,Solo Leisure,Economy Class,3,5,3,5,5,8,yes,Positive,Winter,Asia to Europe
Qatar Airways,True,Couple Leisure,Economy Class,2,5,5,3,2,4,no,Neutral,Autumn,America to Unknown
Qatar Airways,True,Solo Leisure,Economy Class,4,3,5,3,3,6,yes,Positive,Autumn,Asia to Europe
Qatar Airways,True,Solo Leisure,Economy Class,4,5,3,4,5,9,yes,Positive,Autumn,Africa to Europe
Qatar Airways,True,Solo Leisure,Economy Class,2,5,2,4,4,10,yes,Positive,Autumn,Europe to Asia
Qatar Airways,True,Couple Leisure,Business Class,5,5,4,4,5,10,no,Positive,Autumn,Asia to Europe
Qatar Airways,False,Couple Leisure,Economy Class,5,5,2,4,5,9,yes,Positive,Autumn,Africa to Europe
Qatar Airways,True,Couple Leisure,Economy Class,1,5,5,5,5,10,yes,Positive,Autumn,Asia to Europe
Qatar Airways,*Unverified*,Solo Leisure,First Class,5,4,5,4,3,7,yes,Positive,Autumn,Europe to Asia
Qatar Airways,False,Solo Leisure,Economy Class,5,5,4,4,5,10,yes,Positive,Autumn,Asia to Asia
Qatar Airways,False,Solo Leisure,Economy Class,4,1,2,3,5,10,yes,Positive,Autumn,Europe to Asia
Qatar Airways,False,Business,Business Class,3,5,4,2,3,10,yes,Positive,Autumn,Oceania to Europe
Qatar Airways,True,Couple Leisure,Business Class,4,5,4,5,3,6,no,Negative,Autumn,Europe to Asia
Qatar Airways,False,Couple Leisure,Business Class,2,5,5,3,4,6,yes,Positive,Autumn,Asia to Europe
Qatar Airways,True,Business,Business Class,5,5,5,3,5,10,yes,Positive,Autumn,Europe to Asia
Qatar Airways,False,Business,Economy Class,5,5,3,4,5,9,yes,Positive,Autumn,Asia to America
Qatar Airways,True,Couple Leisure,Economy Class,3,5,5,5,2,2,no,Positive,Autumn,Europe to Oceania
Qatar Airways,True,Solo Leisure,Business Class,5,5,3,5,4,8,no,Positive,Autumn,Europe to Asia
Qatar Airways,True,Couple Leisure,Economy Class,5,3,5,5,4,10,yes,Positive,Autumn,Europe to Asia
Qatar Airways,False,Couple Leisure,Economy Class,5,4,4,4,5,9,yes,Positive,Autumn,Europe to Asia
Qatar Airways,True,Solo Leisure,Economy Class,5,4,5,3,4,7,yes,Positive,Winter,Asia to Asia
Qatar Airways,False,Couple Leisure,Business Class,5,5,2,5,1,5,no,Negative,Autumn,Asia to Asia
Qatar Airways,True,Business,Business Class,5,5,4,5,3,6,no,Positive,Autumn,Asia to Oceania
Qatar Airways,False,Business,Economy Class,4,5,3,2,4,7,yes,Positive,Autumn,Europe to Asia
Qatar Airways,False,Business,Business Class,2,1,1,5,3,3,no,Negative,Autumn,Asia to North America
Qatar Airways,True,Business,Business Class,3,4,3,1,4,4,yes,Positive,Autumn,Africa to North America
Qatar Airways,True,Business,Economy Class,3,5,5,5,5,10,yes,Negative,Autumn,Asia to Europe
Qatar Airways,False,Business,Business Class,4,5,2,4,1,3,no,Positive,Autumn,Asia to Asia
Qatar Airways,True,Solo Leisure,Economy Class,5,5,5,5,5,10,yes,Positive,Autumn,Europe to Asia
Qatar Airways,False,Solo Leisure,Business Class,4,4,5,5,5,10,yes,Positive,Autumn,Asia to Europe
Qatar Airways,True,Family Leisure,Economy Class,5,5,2,5,4,8,yes,Positive,Autumn,Asia to Asia
Qatar Airways,False,Solo Leisure,Economy Class,5,2,4,5,1,1,no,Negative,Autumn,America to Asia
Qatar Airways,True,Business,Economy Class,4,5,5,5,3,8,yes,Positive,Winter,Asia to Europe
Qatar Airways,True,Solo Leisure,Business Class,4,5,5,5,2,4,no,Negative,Autumn,Oceania to Europe
Qatar Airways,True,Family Leisure,Economy Class,4,5,5,3,5,10,yes,Positive,Autumn,Oceania to Europe
Qatar Airways,False,Family Leisure,Economy Class,2,3,3,3,5,10,yes,Positive,Autumn,Europe to Asia
Qatar Airways,True,Solo Leisure,Economy Class,5,5,4,5,3,1,no,Positive,Summer,Asia to Asia
Qatar Airways,True,Solo Leisure,Economy Class,4,3,5,4,5,8,yes,Positive,Autumn,Europe to Asia
Qatar Airways,True,Business,Business Class,4,5,2,5,5,9,yes,Positive,Autumn,Asia to Europe
Qatar Airways,False,Solo Leisure,Economy Class,2,2,3,4,5,10,yes,Positive,Summer,Asia to Asia
Qatar Airways,False,Solo Leisure,Economy Class,3,5,2,3,5,10,yes,Positive,Autumn,Asia to Europe
Qatar Airways,False,Solo Leisure,Economy Class,5,3,4,4,5,10,yes,Positive,Autumn,Asia to Asia
Qatar Airways,False,Solo Leisure,Economy Class,5,1,4,5,4,8,yes,Positive,Summer,Asia to Asia
Qatar Airways,False,Solo Leisure,Business Class,5,5,4,2,4,8,yes,Positive,Autumn,America to Asia
Qatar Airways,True,Solo Leisure,Business Class,3,4,5,4,1,2,no,Negative,Autumn,Oceania to Europe
Qatar Airways,False,Couple Leisure,Economy Class,5,5,1,4,1,3,no,Positive,Autumn,Europe to Asia
Qatar Airways,True,Couple Leisure,Business Class,2,4,5,5,4,9,yes,Positive,Autumn,Asia to Asia
Qatar Airways,True,Couple Leisure,Business Class,5,5,4,4,4,10,yes,Positive,Autumn,Europe to Asia
Qatar Airways,False,Solo Leisure,Business Class,4,5,4,5,4,6,yes,Positive,Autumn,Europe to Asia
Qatar Airways,False,Business,Business Class,3,5,1,3,5,8,yes,Positive,Autumn,Oceania to Europe
Qatar Airways,False,Couple Leisure,Economy Class,4,5,5,3,5,10,yes,Positive,Summer,Asia to Asia
Qatar Airways,True,Solo Leisure,Economy Class,5,5,3,3,5,8,yes,Positive,Summer,Oceania to Europe
Qatar Airways,False,Couple Leisure,Economy Class,3,2,5,4,1,1,no,Positive,Summer,America to Asia
Qatar Airways,False,Solo Leisure,Business Class,5,3,5,5,4,6,yes,Positive,Autumn,Oceania to America
Qatar Airways,False,Solo Leisure,Economy Class,2,3,3,5,3,5,no,Positive,Autumn,Oceania to Europe
Qatar Airways,False,Solo Leisure,Business Class,4,4,5,5,5,10,yes,Positive,Autumn,Asia to Asia
Qatar Airways,True,Solo Leisure,Business Class,1,5,5,4,4,9,yes,Positive,Autumn,Africa to America
Qatar Airways,False,Solo Leisure,Economy Class,3,5,5,5,2,1,no,Neutral,Autumn,Asia to Oceania
Qatar Airways,False,Solo Leisure,Economy Class,5,5,4,2,5,10,yes,Positive,Autumn,Asia to Europe
Qatar Airways,False,Family Leisure,Economy Class,1,5,5,4,3,5,yes,Positive,Autumn,Asia to Europe
Qatar Airways,False,Solo Leisure,Economy Class,2,5,5,5,4,7,no,Positive,Autumn,Africa to Asia
Qatar Airways,False,Business,Business Class,4,5,4,4,1,1,no,Positive,Autumn,Europe to Asia
Qatar Airways,True,Solo Leisure,Economy Class,5,5,5,4,5,10,yes,Positive,Autumn,America to Asia
Qatar Airways,False,Solo Leisure,Economy Class,5,1,5,4,5,10,yes,Positive,Autumn,Europe to Asia
Qatar Airways,True,Solo Leisure,Business Class,4,5,3,4,5,8,yes,Positive,Autumn,America to Asia
Qatar Airways,True,Solo Leisure,Business Class,4,5,4,2,3,10,yes,Positive,Autumn,Europe to Asia
Qatar Airways,False,Solo Leisure,Business Class,5,5,5,5,4,4,yes,Positive,Summer,Asia to Europe
Qatar Airways,True,Solo Leisure,Economy Class,3,4,5,5,2,10,no,Negative,Spring,Asia to Europe
Qatar Airways,True,Family Leisure,Economy Class,4,3,5,4,5,9,yes,Positive,Summer,North America to Asia
Qatar Airways,False,Solo Leisure,Economy Class,3,5,4,5,5,9,yes,Positive,Summer,America to Asia
Qatar Airways,False,Family Leisure,Business Class,5,5,5,4,5,7,yes,Positive,Summer,Asia to Oceania
Qatar Airways,True,Family Leisure,Economy Class,4,5,5,4,4,10,yes,Positive,Summer,Oceania to Europe
Qatar Airways,False,Couple Leisure,Economy Class,4,5,5,5,5,5,yes,Positive,Summer,Asia to Europe
Qatar Airways,False,Solo Leisure,Economy Class,5,5,5,4,2,5,no,Positive,Summer,Oceania to Europe
Qatar Airways,False,Family Leisure,Economy Class,1,5,4,5,2,4,no,Negative,Spring,Asia to Europe
Qatar Airways,True,Couple Leisure,Economy Class,4,5,2,5,3,9,no,Positive,Summer,Europe to Oceania
Qatar Airways,True,Solo Leisure,Economy Class,4,5,4,4,5,1,yes,Positive,Summer,America to Asia
Qatar Airways,False,Couple Leisure,Economy Class,5,5,5,3,1,3,no,Positive,Summer,Europe to Asia
Qatar Airways,True,Business,Economy Class,2,5,4,5,3,5,no,Positive,Summer,North America to Asia
Qatar Airways,False,Solo Leisure,Economy Class,5,5,5,5,3,10,no,Positive,Summer,Europe to Asia
Qatar Airways,False,Couple Leisure,Business Class,5,5,3,5,3,2,yes,Positive,Winter,Asia to Asia
Qatar Airways,True,Family Leisure,Economy Class,5,5,5,4,2,6,no,Positive,Summer,Europe to Asia
Qatar Airways,False,Solo Leisure,Economy Class,4,4,3,4,3,8,yes,Positive,Summer,Asia to Asia
Qatar Airways,False,Business,Business Class,3,5,5,5,5,10,yes,Positive,Spring,Unknown to Asia
Qatar Airways,False,Business,Economy Class,5,5,4,5,5,9,yes,Positive,Winter,Asia to Asia
Qatar Airways,False,Solo Leisure,Economy Class,5,5,4,4,4,7,yes,Positive,Summer,Asia to Europe
Qatar Airways,False,Business,Business Class,5,5,2,4,4,9,no,Positive,Summer,Europe to Asia
Qatar Airways,True,Couple Leisure,Economy Class,4,5,3,3,5,9,yes,Positive,Summer,Oceania to Europe
Qatar Airways,False,Couple Leisure,Business Class,5,5,1,5,5,4,no,Positive,Summer,Europe to Oceania
Qatar Airways,True,Business,Business Class,4,4,2,5,3,7,no,Negative,Summer,Europe to Oceania
Qatar Airways,True,Solo Leisure,Economy Class,4,4,2,5,5,4,yes,Positive,Summer,Oceania to Europe
Qatar Airways,False,Business,Business Class,5,5,4,3,3,9,no,Negative,Summer,Asia to Europe
Qatar Airways,False,Family Leisure,Economy Class,5,5,5,4,5,8,yes,Positive,Spring,Europe to Asia
Qatar Airways,False,Family Leisure,Economy Class,5,2,5,3,4,8,yes,Positive,Winter,Asia to Asia
Qatar Airways,False,Solo Leisure,Economy Class,3,3,5,4,4,9,yes,Positive,Spring,Oceania to Europe
Qatar Airways,False,Solo Leisure,Economy Class,5,5,4,5,5,3,yes,Positive,Summer,Oceania to Asia
Qatar Airways,True,Solo Leisure,Economy Class,5,4,4,4,1,8,no,Positive,Summer,Oceania to America
Qatar Airways,True,Family Leisure,Economy Class,4,5,4,5,4,10,yes,Positive,Summer,Asia to Europe
Qatar Airways,True,Family Leisure,Economy Class,5,3,3,5,5,9,yes,Positive,Summer,Asia to Europe
Qatar Airways,False,Family Leisure,Economy Class,4,5,5,1,5,3,yes,Positive,Summer,Europe to Asia
Qatar Airways,True,Solo Leisure,Economy Class,5,4,2,3,1,9,no,Positive,Summer,Asia to Asia
Qatar Airways,True,Family Leisure,Business Class,5,4,1,2,5,9,yes,Positive,Winter,Asia to North America
Qatar Airways,False,Solo Leisure,Business Class,5,2,1,5,4,10,yes,Positive,Summer,Asia to America
Qatar Airways,True,Solo Leisure,Economy Class,4,5,4,4,5,10,yes,Positive,Summer,Asia to Europe
Qatar Airways,True,Couple Leisure,Business Class,1,1,5,5,5,5,yes,Positive,Summer,Europe to Asia
Qatar Airways,False,Solo Leisure,Economy Class,4,4,5,4,4,10,yes,Positive,Summer,North America to Asia
Qatar Airways,True,Couple Leisure,Business Class,5,5,5,5,5,10,yes,Positive,Summer,Oceania to Europe
Qatar Airways,False,Solo Leisure,Economy Class,5,5,5,4,5,10,yes,Positive,Spring,Europe to Asia
Qatar Airways,True,Family Leisure,Business Class,2,5,4,5,5,9,yes,Positive,Summer,Oceania to America
Qatar Airways,True,Couple Leisure,Economy Class,2,5,5,4,4,10,yes,Positive,Summer,Asia to Europe
Qatar Airways,False,Family Leisure,Economy Class,5,4,5,1,5,10,yes,Positive,Summer,Europe to Asia
Qatar Airways,False,Couple Leisure,Business Class,5,5,3,4,4,10,yes,Positive,Summer,Asia to Europe
Qatar Airways,False,Couple Leisure,Business Class,5,5,4,5,4,10,yes,Positive,Summer,Asia to Africa
Qatar Airways,True,Business,Business Class,2,5,2,2,5,9,yes,Positive,Summer,Asia to Europe
Qatar Airways,False,Couple Leisure,Business Class,5,3,4,3,5,8,yes,Positive,Summer,Europe to Asia
Qatar Airways,False,Family Leisure,Economy Class,4,3,4,3,4,8,yes,Negative,Summer,Asia to Europe
Qatar Airways,False,Couple Leisure,Business Class,3,3,5,5,4,10,yes,Positive,Summer,North America to Asia
Qatar Airways,True,Solo Leisure,Business Class,3,5,3,4,5,10,yes,Positive,Spring,Asia to Asia
Qatar Airways,True,Family Leisure,Economy Class,4,4,5,5,3,10,yes,Positive,Summer,America to Africa
Qatar Airways,False,Couple Leisure,Premium Economy,1,5,5,4,5,9,yes,Positive,Summer,Oceania to Asia
Qatar Airways,True,Couple Leisure,Business Class,4,5,5,4,5,8,yes,Positive,Summer,Europe to Asia
Qatar Airways,False,Solo Leisure,Business Class,4,5,5,2,5,9,yes,Positive,Summer,Asia to Europe
Qatar Airways,True,Business,Business Class,5,5,4,2,4,9,yes,Positive,Summer,Asia to Europe
Qatar Airways,False,Business,Business Class,4,5,3,4,4,10,yes,Positive,Spring,Europe to Oceania
Qatar Airways,True,Couple Leisure,Economy Class,5,4,4,5,5,8,yes,Positive,Spring,Asia to Asia
Qatar Airways,False,Solo Leisure,Economy Class,5,5,5,4,3,3,yes,Positive,Spring,America to Asia
Qatar Airways,False,Business,Business Class,4,5,2,4,1,8,yes,Positive,Spring,Asia to Asia
Qatar Airways,False,Couple Leisure,Economy Class,2,5,5,5,5,10,yes,Positive,Spring,Europe to Asia
Qatar Airways,False,Solo Leisure,Economy Class,4,5,4,4,5,10,yes,Positive,Spring,Europe to Asia
Qatar Airways,True,Solo Leisure,Economy Class,2,5,1,5,5,3,yes,Positive,Spring,Europe to Asia
Qatar Airways,False,Solo Leisure,Economy Class,2,5,4,5,2,5,no,Positive,Spring,Asia to Africa
Qatar Airways,True,Family Leisure,Economy Class,3,5,5,2,5,10,yes,Positive,Spring,Asia to Europe
Qatar Airways,False,Solo Leisure,Business Class,4,5,1,4,5,8,yes,Positive,Spring,Asia to Europe
Qatar Airways,True,Family Leisure,Economy Class,5,5,4,3,4,10,yes,Positive,Spring,Europe to Asia
Qatar Airways,False,Business,Business Class,5,5,3,3,5,5,yes,Positive,Spring,Europe to Asia
Qatar Airways,False,Solo Leisure,Economy Class,5,5,3,3,3,9,no,Positive,Spring,Asia to Africa
Qatar Airways,True,Business,First Class,5,3,4,4,3,7,yes,Positive,Spring,Asia to Europe
Qatar Airways,True,Business,Economy Class,4,4,5,5,3,3,yes,Negative,Spring,Africa to Europe
Qatar Airways,True,Solo Leisure,Economy Class,5,5,4,4,3,1,no,Negative,Spring,Europe to Asia
Qatar Airways,True,Business,Economy Class,5,5,3,5,1,7,no,Positive,Spring,Europe to Africa
Qatar Airways,False,Solo Leisure,Economy Class,3,5,5,4,5,1,yes,Positive,Spring,Europe to Oceania
Qatar Airways,False,Couple Leisure,Economy Class,5,5,5,3,1,4,no,Negative,Winter,Asia to Asia
Qatar Airways,True,Solo Leisure,Business Class,4,3,5,5,5,9,yes,Positive,Winter,Africa to Asia
Qatar Airways,False,Couple Leisure,Business Class,5,5,5,4,5,9,yes,Positive,Spring,Asia to Oceania
Qatar Airways,False,Couple Leisure,First Class,4,5,5,5,5,10,yes,Positive,Spring,Asia to Asia
Qatar Airways,False,Solo Leisure,Economy Class,5,2,5,5,5,9,yes,Positive,Spring,Africa to Europe
Qatar Airways,False,Solo Leisure,Business Class,3,5,5,1,5,5,yes,Positive,Spring,Asia to Europe
Qatar Airways,True,Solo Leisure,Business Class,5,3,5,5,1,9,no,Negative,Spring,Asia to Asia
Qatar Airways,True,Solo Leisure,Economy Class,4,5,1,4,5,5,yes,Positive,Spring,Asia to Asia
Qatar Airways,False,Solo Leisure,Business Class,5,5,5,4,2,9,yes,Positive,Spring,Europe to Africa
Qatar Airways,True,Solo Leisure,Business Class,5,5,4,3,4,2,yes,Positive,Spring,America to Asia
Qatar Airways,False,Solo Leisure,Economy Class,5,4,4,5,2,7,no,Positive,Spring,Asia to Asia
Qatar Airways,False,Family Leisure,Economy Class,3,3,4,3,4,7,yes,Positive,Spring,Asia to Asia
Qatar Airways,False,Family Leisure,Economy Class,2,5,3,1,4,10,yes,Positive,Spring,Asia to Asia
Qatar Airways,False,Solo Leisure,First Class,5,3,5,4,5,10,yes,Positive,Spring,Asia to America
Qatar Airways,False,Couple Leisure,Business Class,5,5,1,2,5,10,yes,Positive,Spring,America to Asia
Qatar Airways,False,Couple Leisure,Business Class,4,5,2,4,5,9,yes,Positive,Spring,Asia to Asia
Qatar Airways,True,Solo Leisure,Business Class,4,5,5,5,5,7,yes,Positive,Spring,Europe to Asia
Qatar Airways,True,Family Leisure,Economy Class,2,5,5,5,4,10,yes,Positive,Spring,Asia to Europe
Qatar Airways,True,Family Leisure,Economy Class,4,5,5,4,5,10,yes,Positive,Summer,Europe to Asia
Qatar Airways,False,Couple Leisure,Business Class,5,5,5,4,5,7,yes,Positive,Spring,Europe to Asia
Qatar Airways,True,Family Leisure,Economy Class,1,5,5,4,4,9,yes,Positive,Spring,Europe to Asia
Qatar Airways,True,Business,Economy Class,4,5,5,4,4,8,yes,Positive,Spring,Asia to Asia
Qatar Airways,False,Business,Business Class,3,5,5,4,3,9,yes,Positive,Spring,Europe to Asia
Qatar Airways,True,Solo Leisure,Business Class,5,4,5,4,5,9,yes,Positive,Spring,Europe to Asia
Qatar Airways,True,Solo Leisure,Economy Class,5,5,3,5,5,9,yes,Positive,Spring,Asia to Europe
Qatar Airways,True,Couple Leisure,Business Class,5,3,5,5,5,3,yes,Positive,Spring,Asia to Asia
Qatar Airways,False,Business,Business Class,4,5,3,5,2,10,no,Negative,Winter,Asia to Asia
Qatar Airways,False,Couple Leisure,Business Class,3,3,2,4,5,8,yes,Positive,Spring,Asia to Asia
Qatar Airways,False,Couple Leisure,Economy Class,5,4,1,5,5,9,yes,Positive,Spring,Asia to Europe
Qatar Airways,False,Couple Leisure,Business Class,5,5,3,5,5,10,yes,Positive,Spring,Oceania to Europe
Qatar Airways,False,Couple Leisure,Business Class,5,5,5,4,5,9,yes,Negative,Spring,America to Asia
Qatar Airways,False,Solo Leisure,Economy Class,5,5,5,4,5,6,yes,Positive,Spring,Europe to Africa
Qatar Airways,True,Family Leisure,Economy Class,5,5,5,5,3,5,yes,Positive,Spring,Europe to Asia
Qatar Airways,True,Couple Leisure,Economy Class,5,5,4,5,3,10,yes,Positive,Spring,Asia to Oceania
Qatar Airways,False,Couple Leisure,Business Class,5,4,4,1,5,8,yes,Positive,Spring,Asia to Asia
Qatar Airways,False,Solo Leisure,Business Class,5,4,4,4,5,8,yes,Positive,Spring,Africa to Europe
Qatar Airways,True,Solo Leisure,Business Class,3,5,4,5,4,9,yes,Positive,Spring,Europe to Asia
Qatar Airways,True,Solo Leisure,Economy Class,5,3,2,5,5,3,yes,Positive,Summer,North America to Asia
Qatar Airways,False,Solo Leisure,Economy Class,4,5,3,4,3,10,no,Negative,Winter,America to Asia
Qatar Airways,True,Business,Economy Class,4,3,5,3,5,10,yes,Positive,Spring,Asia to America
Qatar Airways,False,Business,Economy Class,4,2,3,5,4,2,yes,Positive,Spring,Asia to Europe
Qatar Airways,True,Solo Leisure,Business Class,2,3,4,5,1,9,no,Positive,Spring,Asia to Europe
Qatar Airways,False,Couple Leisure,Business Class,4,5,1,3,4,7,yes,Positive,Spring,Asia to North America
Qatar Airways,False,Solo Leisure,Business Class,3,5,4,5,4,8,yes,Positive,Spring,Europe to Asia
Qatar Airways,True,Solo Leisure,Business Class,2,5,5,4,4,9,yes,Positive,Spring,Asia to Europe
Qatar Airways,False,Solo Leisure,Business Class,4,5,4,3,5,8,yes,Positive,Spring,Europe to Asia
Qatar Airways,False,Solo Leisure,Business Class,5,5,5,4,4,7,yes,Positive,Winter,Asia to Asia
Qatar Airways,False,Solo Leisure,Business Class,4,5,4,5,4,7,yes,Positive,Winter,Asia to Europe
Qatar Airways,True,Solo Leisure,Economy Class,5,5,3,3,5,9,yes,Positive,Spring,Asia to Europe
Qatar Airways,False,Couple Leisure,Economy Class,4,4,2,4,5,8,yes,Positive,Spring,Europe to Asia
Qatar Airways,True,Couple Leisure,Economy Class,5,2,4,5,5,10,yes,Positive,Winter,Asia to Europe
Qatar Airways,False,Family Leisure,Economy Class,4,4,2,4,5,10,yes,Positive,Spring,Asia to Africa
Qatar Airways,False,Family Leisure,First Class,5,5,2,5,5,10,yes,Positive,Winter,Europe to Asia
Qatar Airways,False,Family Leisure,Business Class,4,4,1,4,4,10,yes,Positive,Winter,Asia to Europe
Qatar Airways,False,Family Leisure,Economy Class,5,5,4,4,5,9,yes,Positive,Winter,Africa to Asia
Qatar Airways,True,Family Leisure,Economy Class,4,5,5,5,4,10,yes,Positive,Winter,Africa to Asia
Qatar Airways,False,Business,Business Class,3,4,5,5,5,5,yes,Positive,Winter,Europe to Africa
Qatar Airways,True,Solo Leisure,Economy Class,1,4,5,3,4,10,no,Negative,Spring,Asia to Europe
Qatar Airways,False,Solo Leisure,Economy Class,5,5,2,4,5,10,yes,Positive,Winter,Europe to Asia
Qatar Airways,True,Business,Economy Class,5,5,4,4,5,9,yes,Positive,Spring,Asia to Europe
Qatar Airways,False,Business,Business Class,4,5,3,4,5,10,yes,Positive,Spring,Asia to Europe
Qatar Airways,False,Solo Leisure,Economy Class,5,4,5,4,5,7,yes,Positive,Winter,Europe to Asia
Qatar Airways,False,Business,Economy Class,3,4,1,3,3,10,yes,Positive,Winter,Asia to Asia
Qatar Airways,False,Solo Leisure,Economy Class,5,4,4,3,5,5,yes,Positive,Winter,Europe to Asia
Qatar Airways,False,Couple Leisure,Business Class,4,3,5,4,4,5,yes,Positive,Winter,Asia to Europe
Qatar Airways,True,Couple Leisure,Economy Class,4,3,5,4,3,9,yes,Negative,Winter,Europe to Asia
Qatar Airways,True,Couple Leisure,Business Class,3,4,3,5,5,10,yes,Positive,Winter,Asia to Africa
Qatar Airways,False,Couple Leisure,Business Class,3,4,1,1,5,9,yes,Positive,Winter,Asia to Oceania
Qatar Airways,False,Couple Leisure,Business Class,5,5,5,4,5,10,yes,Positive,Winter,Oceania to Europe
Qatar Airways,True,Couple Leisure,Business Class,4,5,5,5,5,9,yes,Positive,Winter,Asia to Asia
Qatar Airways,True,Couple Leisure,Economy Class,5,4,4,5,5,9,yes,Positive,Winter,Europe to Oceania
Qatar Airways,False,Solo Leisure,Business Class,2,5,4,4,5,8,yes,Positive,Winter,Unknown to Asia
Qatar Airways,True,Family Leisure,Economy Class,4,5,4,3,4,8,yes,Positive,Winter,Asia to Asia
Qatar Airways,True,Solo Leisure,Economy Class,4,3,4,4,3,4,yes,Positive,Winter,Europe to Asia
Qatar Airways,False,Family Leisure,Economy Class,3,5,5,5,5,10,yes,Positive,Winter,Asia to Europe
Qatar Airways,False,Family Leisure,Economy Class,3,2,5,4,5,5,yes,Positive,Winter,Europe to Asia
Qatar Airways,False,Family Leisure,Economy Class,4,5,2,5,3,1,no,Positive,Winter,Europe to Africa
Qatar Airways,True,Solo Leisure,Economy Class,4,5,5,2,1,2,no,Negative,Winter,Europe to Asia
Qatar Airways,True,Solo Leisure,Economy Class,4,4,4,2,1,9,no,Negative,Winter,Africa to Asia
Qatar Airways,True,Couple Leisure,Business Class,4,2,4,5,4,9,yes,Positive,Winter,America to Asia
Qatar Airways,False,Family Leisure,Economy Class,5,5,3,4,5,10,yes,Positive,Winter,Asia to Asia
Qatar Airways,False,Solo Leisure,Economy Class,2,5,5,4,5,9,yes,Positive,Winter,Europe to Asia
Qatar Airways,True,Family Leisure,Economy Class,5,4,5,5,5,9,yes,Positive,Winter,Asia to Europe
Qatar Airways,False,Business,Economy Class,3,5,4,1,5,10,yes,Positive,Winter,Europe to Africa
Qatar Airways,True,Couple Leisure,Business Class,4,5,5,5,5,9,yes,Positive,Winter,Asia to Europe
Qatar Airways,True,Solo Leisure,Economy Class,5,4,4,4,4,8,yes,Positive,Winter,Europe to Asia
Qatar Airways,False,Solo Leisure,Economy Class,4,5,4,5,5,2,yes,Positive,Winter,South America to Asia
Qatar Airways,True,Family Leisure,Economy Class,4,4,3,4,4,8,no,Negative,Winter,Europe to Asia
Qatar Airways,False,Solo Leisure,Economy Class,4,4,5,4,5,9,yes,Positive,Winter,Europe to Asia
Qatar Airways,True,Couple Leisure,Economy Class,5,5,3,2,5,8,yes,Positive,Autumn,Asia to Europe
Qatar Airways,False,Solo Leisure,Economy Class,3,3,3,4,5,9,yes,Positive,Winter,Europe to Asia
Qatar Airways,False,Solo Leisure,Business Class,4,5,5,4,5,4,yes,Positive,Winter,Europe to Asia
Qatar Airways,True,Couple Leisure,Economy Class,4,4,5,4,4,9,no,Positive,Winter,Oceania to Europe
Qatar Airways,False,Solo Leisure,Business Class,5,5,3,5,4,6,yes,Positive,Winter,Europe to Oceania
Qatar Airways,True,Couple Leisure,Business Class,5,5,5,5,4,7,no,Positive,Autumn,Europe to Asia
Qatar Airways,False,Solo Leisure,Business Class,2,4,4,5,5,9,yes,Positive,Winter,Africa to Asia
Qatar Airways,False,Couple Leisure,Economy Class,3,5,3,4,4,8,yes,Positive,Summer,Europe to Asia
Qatar Airways,False,Couple Leisure,Business Class,5,5,4,4,5,8,yes,Positive,Autumn,America to Asia
Qatar Airways,False,Solo Leisure,Economy Class,4,4,5,3,5,6,yes,Positive,Autumn,Europe to Europe
Qatar Airways,True,Couple Leisure,Economy Class,3,5,2,5,5,8,yes,Positive,Winter,Europe to Asia
Qatar Airways,True,Business,Economy Class,4,3,5,1,4,6,yes,Positive,Winter,Europe to Asia
Qatar Airways,False,Family Leisure,Economy Class,4,5,5,1,3,6,no,Positive,Winter,Europe to Europe
Qatar Airways,False,Couple Leisure,Economy Class,4,4,2,3,3,4,yes,Positive,Winter,Europe to Asia
